,id,value_id,value_name,attribute_group_id,source,name,value_struct,values,attribute_group_name,value_struct.number,value_struct.unit
150,COVERED_AREA,,45 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '45 m²', 'struct': {'number': 45, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,45.0,m²
151,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
152,ROOMS,,3,FIND,6316276763983939,Ambientes,,"[{'name': '3', 'struct': None, 'source': 6316276763983939, 'id': None}]",Ficha técnica,,
153,TOTAL_AREA,,47 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '47 m²', 'struct': {'unit': 'm²', 'number': 47}, 'source': 6316276763983939}]",Ficha técnica,47.0,m²
154,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
155,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
156,ITEM_CONDITION,2230581,Usado,OTHERS,6316276763983939,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 6316276763983939}]",Otros,,
157,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",,,
158,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,5031406389580791,Aire acondicionado,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 5031406389580791}]",Comodidades y amenities,,
159,BEDROOMS,,2,FIND,5031406389580791,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 5031406389580791}]",Ficha técnica,,
160,COVERED_AREA,,85 m²,FIND,5031406389580791,Superficie cubierta,,"[{'name': '85 m²', 'struct': {'number': 85, 'unit': 'm²'}, 'source': 5031406389580791, 'id': None}]",Ficha técnica,85.0,m²
161,FULL_BATHROOMS,,2,FIND,5031406389580791,Baños,,"[{'id': None, 'name': '2', 'struct': None, 'source': 5031406389580791}]",Ficha técnica,,
162,ROOMS,,3,FIND,5031406389580791,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 5031406389580791}]",Ficha técnica,,
163,TOTAL_AREA,,91 m²,FIND,5031406389580791,Superficie total,,"[{'id': None, 'name': '91 m²', 'struct': {'unit': 'm²', 'number': 91}, 'source': 5031406389580791}]",Ficha técnica,91.0,m²
164,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
165,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'name': 'Departamento', 'struct': None, 'source': 1, 'id': '242062'}]",Principales,,
166,HAS_TELEPHONE_LINE,242085,Sí,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'name': 'Sí', 'struct': None, 'source': 4709975701260268, 'id': '242085'}]",Características adicionales,,
167,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 4709975701260268}]",Comodidades y amenities,,
168,BEDROOMS,,3,FIND,4709975701260268,Dormitorios,,"[{'id': None, 'name': '3', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
169,COVERED_AREA,,149 m²,FIND,4709975701260268,Superficie cubierta,,"[{'id': None, 'name': '149 m²', 'struct': {'number': 149, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,149.0,m²
170,FULL_BATHROOMS,,3,FIND,4709975701260268,Baños,,"[{'name': '3', 'struct': None, 'source': 4709975701260268, 'id': None}]",Ficha técnica,,
171,ROOMS,,4,FIND,4709975701260268,Ambientes,,"[{'id': None, 'name': '4', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
172,TOTAL_AREA,,160 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '160 m²', 'struct': {'number': 160, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,160.0,m²
173,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
174,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'name': 'Departamento', 'struct': None, 'source': 1, 'id': '242062'}]",Principales,,
175,ITEM_CONDITION,2230581,Usado,OTHERS,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",Otros,,
176,WITH_VIRTUAL_TOUR,242084,No,OTHERS,942334329061206,Tour virtual,,"[{'struct': None, 'source': 942334329061206, 'id': '242084', 'name': 'No'}]",Otros,,
177,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 4709975701260268}]",Características adicionales,,
