,id,value_id,value_name,attribute_group_id,source,name,value_struct,values,attribute_group_name,value_struct.number,value_struct.unit
272,COVERED_AREA,,42 m²,FIND,1505,Superficie cubierta,,"[{'id': None, 'name': '42 m²', 'struct': {'number': 42, 'unit': 'm²'}, 'source': 1505}]",Ficha técnica,42.0,m²
273,FULL_BATHROOMS,,1,FIND,1505,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 1505}]",Ficha técnica,,
274,ROOMS,,2,FIND,1505,Ambientes,,"[{'struct': None, 'source': 1505, 'id': None, 'name': '2'}]",Ficha técnica,,
275,TOTAL_AREA,,42 m²,FIND,1505,Superficie total,,"[{'name': '42 m²', 'struct': {'number': 42, 'unit': 'm²'}, 'source': 1505, 'id': None}]",Ficha técnica,42.0,m²
276,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'source': 1, 'id': '242073', 'name': 'Alquiler', 'struct': None}]",Principales,,
277,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
278,BEDROOMS,,2,FIND,6316276763983939,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
279,COVERED_AREA,,60 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '60 m²', 'struct': {'unit': 'm²', 'number': 60}, 'source': 6316276763983939}]",Ficha técnica,60.0,m²
280,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'name': '1', 'struct': None, 'source': 6316276763983939, 'id': None}]",Ficha técnica,,
281,ROOMS,,3,FIND,6316276763983939,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
282,TOTAL_AREA,,65 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '65 m²', 'struct': {'number': 65, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,65.0,m²
283,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
284,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'name': 'Departamento', 'struct': None, 'source': 1, 'id': '242062'}]",Principales,,
285,ITEM_CONDITION,2230581,Usado,OTHERS,6316276763983939,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 6316276763983939}]",Otros,,
286,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",,,
287,BEDROOMS,,2,FIND,6316276763983939,Dormitorios,,"[{'name': '2', 'struct': None, 'source': 6316276763983939, 'id': None}]",Ficha técnica,,
288,COVERED_AREA,,49 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '49 m²', 'struct': {'number': 49, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,49.0,m²
289,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
290,ROOMS,,3,FIND,6316276763983939,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
291,TOTAL_AREA,,49 m²,FIND,6316276763983939,Superficie total,,"[{'struct': {'number': 49, 'unit': 'm²'}, 'source': 6316276763983939, 'id': None, 'name': '49 m²'}]",Ficha técnica,49.0,m²
292,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
293,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
294,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 4709975701260268}]",Características adicionales,,
295,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'name': 'No', 'struct': None, 'source': 4709975701260268, 'id': '242084'}]",Comodidades y amenities,,
296,BEDROOMS,,1,FIND,4709975701260268,Dormitorios,,"[{'struct': None, 'source': 4709975701260268, 'id': None, 'name': '1'}]",Ficha técnica,,
297,COVERED_AREA,,26 m²,FIND,4709975701260268,Superficie cubierta,,"[{'id': None, 'name': '26 m²', 'struct': {'number': 26, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,26.0,m²
298,FULL_BATHROOMS,,1,FIND,4709975701260268,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
299,ROOMS,,1,FIND,4709975701260268,Ambientes,,"[{'struct': None, 'source': 4709975701260268, 'id': None, 'name': '1'}]",Ficha técnica,,
300,TOTAL_AREA,,26 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '26 m²', 'struct': {'number': 26, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,26.0,m²
301,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
302,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
303,ITEM_CONDITION,2230581,Usado,OTHERS,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",Otros,,
304,WITH_VIRTUAL_TOUR,242084,No,OTHERS,942334329061206,Tour virtual,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 942334329061206}]",Otros,,
305,BEDROOMS,,1,FIND,1505,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 1505}]",Ficha técnica,,
306,COVERED_AREA,,35 m²,FIND,1505,Superficie cubierta,,"[{'id': None, 'name': '35 m²', 'struct': {'number': 35, 'unit': 'm²'}, 'source': 1505}]",Ficha técnica,35.0,m²
307,FULL_BATHROOMS,,1,FIND,1505,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 1505}]",Ficha técnica,,
308,ROOMS,,2,FIND,1505,Ambientes,,"[{'source': 1505, 'id': None, 'name': '2', 'struct': None}]",Ficha técnica,,
309,TOTAL_AREA,,35 m²,FIND,1505,Superficie total,,"[{'id': None, 'name': '35 m²', 'struct': {'number': 35, 'unit': 'm²'}, 'source': 1505}]",Ficha técnica,35.0,m²
310,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'name': 'Alquiler', 'struct': None, 'source': 1, 'id': '242073'}]",Principales,,
311,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'name': 'Departamento', 'struct': None, 'source': 1, 'id': '242062'}]",Principales,,
312,WITH_VIRTUAL_TOUR,242084,No,OTHERS,942334329061206,Tour virtual,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 942334329061206}]",Otros,,
313,BEDROOMS,,1,FIND,7092,Dormitorios,,"[{'name': '1', 'struct': None, 'source': 7092, 'id': None}]",Ficha técnica,,
314,COVERED_AREA,,54 m²,FIND,7092,Superficie cubierta,,"[{'source': 7092, 'id': None, 'name': '54 m²', 'struct': {'number': 54, 'unit': 'm²'}}]",Ficha técnica,54.0,m²
315,FULL_BATHROOMS,,1,FIND,7092,Baños,,"[{'struct': None, 'source': 7092, 'id': None, 'name': '1'}]",Ficha técnica,,
316,ROOMS,,2,FIND,7092,Ambientes,,"[{'id': None, 'name': '2', 'struct': None, 'source': 7092}]",Ficha técnica,,
317,TOTAL_AREA,,52 m²,FIND,7092,Superficie total,,"[{'id': None, 'name': '52 m²', 'struct': {'number': 52, 'unit': 'm²'}, 'source': 7092}]",Ficha técnica,52.0,m²
318,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'name': 'Alquiler', 'struct': None, 'source': 1, 'id': '242073'}]",Principales,,
319,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'source': 1, 'id': '242062', 'name': 'Departamento', 'struct': None}]",Principales,,
320,HAS_TELEPHONE_LINE,242085,Sí,CARACTERISTICAS,6316276763983939,Línea telefónica,,"[{'source': 6316276763983939, 'id': '242085', 'name': 'Sí', 'struct': None}]",Características adicionales,,
321,BEDROOMS,,1,FIND,6316276763983939,Dormitorios,,"[{'name': '1', 'struct': None, 'source': 6316276763983939, 'id': None}]",Ficha técnica,,
322,COVERED_AREA,,50 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '50 m²', 'struct': {'number': 50, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,50.0,m²
323,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
324,ROOMS,,2,FIND,6316276763983939,Ambientes,,"[{'id': None, 'name': '2', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
325,TOTAL_AREA,,50 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '50 m²', 'struct': {'number': 50, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,50.0,m²
326,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
327,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
328,ITEM_CONDITION,2230581,Usado,OTHERS,6316276763983939,Condición del ítem,,"[{'name': 'Usado', 'struct': None, 'source': 6316276763983939, 'id': '2230581'}]",Otros,,
329,WITH_VIRTUAL_TOUR,242084,No,OTHERS,942334329061206,Tour virtual,,"[{'source': 942334329061206, 'id': '242084', 'name': 'No', 'struct': None}]",Otros,,
330,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",,,
331,BEDROOMS,,0,FIND,6316276763983939,Dormitorios,,"[{'struct': None, 'source': 6316276763983939, 'id': None, 'name': '0'}]",Ficha técnica,,
332,COVERED_AREA,,27 m²,FIND,6316276763983939,Superficie cubierta,,"[{'source': 6316276763983939, 'id': None, 'name': '27 m²', 'struct': {'number': 27, 'unit': 'm²'}}]",Ficha técnica,27.0,m²
333,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'name': '1', 'struct': None, 'source': 6316276763983939, 'id': None}]",Ficha técnica,,
334,ROOMS,,1,FIND,6316276763983939,Ambientes,,"[{'source': 6316276763983939, 'id': None, 'name': '1', 'struct': None}]",Ficha técnica,,
335,TOTAL_AREA,,27 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '27 m²', 'struct': {'number': 27, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,27.0,m²
336,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
337,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
338,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",,,
339,HAS_TELEPHONE_LINE,242085,Sí,CARACTERISTICAS,7632835793739921,Línea telefónica,,"[{'id': '242085', 'name': 'Sí', 'struct': None, 'source': 7632835793739921}]",Características adicionales,,
340,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,7632835793739921,Aire acondicionado,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 7632835793739921}]",Comodidades y amenities,,
341,BEDROOMS,,2,FIND,7632835793739921,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 7632835793739921}]",Ficha técnica,,
342,COVERED_AREA,,50 m²,FIND,7632835793739921,Superficie cubierta,,"[{'id': None, 'name': '50 m²', 'struct': {'number': 50, 'unit': 'm²'}, 'source': 7632835793739921}]",Ficha técnica,50.0,m²
343,FULL_BATHROOMS,,1,FIND,7632835793739921,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 7632835793739921}]",Ficha técnica,,
344,ROOMS,,3,FIND,7632835793739921,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 7632835793739921}]",Ficha técnica,,
345,TOTAL_AREA,,50 m²,FIND,7632835793739921,Superficie total,,"[{'id': None, 'name': '50 m²', 'struct': {'number': 50, 'unit': 'm²'}, 'source': 7632835793739921}]",Ficha técnica,50.0,m²
346,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
347,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'source': 1, 'id': '242062', 'name': 'Departamento', 'struct': None}]",Principales,,
348,BEDROOMS,,1,FIND,6316276763983939,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
349,COVERED_AREA,,42 m²,FIND,6316276763983939,Superficie cubierta,,"[{'name': '42 m²', 'struct': {'number': 42, 'unit': 'm²'}, 'source': 6316276763983939, 'id': None}]",Ficha técnica,42.0,m²
350,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
351,ROOMS,,2,FIND,6316276763983939,Ambientes,,"[{'struct': None, 'source': 6316276763983939, 'id': None, 'name': '2'}]",Ficha técnica,,
352,TOTAL_AREA,,45 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '45 m²', 'struct': {'number': 45, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,45.0,m²
353,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
354,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
355,ITEM_CONDITION,2230581,Usado,OTHERS,6316276763983939,Condición del ítem,,"[{'struct': None, 'source': 6316276763983939, 'id': '2230581', 'name': 'Usado'}]",Otros,,
356,HAS_AIR_CONDITIONING,242085,Sí,COMOYAMEN,6316276763983939,Aire acondicionado,,"[{'source': 6316276763983939, 'id': '242085', 'name': 'Sí', 'struct': None}]",Comodidades y amenities,,
357,BEDROOMS,,2,FIND,6316276763983939,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
358,COVERED_AREA,,90 m²,FIND,7398128016960827,Superficie cubierta,,"[{'id': None, 'name': '90 m²', 'struct': {'number': 90, 'unit': 'm²'}, 'source': 7398128016960827}]",Ficha técnica,90.0,m²
359,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
360,ROOMS,,3,FIND,6316276763983939,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
361,TOTAL_AREA,,95 m²,FIND,7398128016960827,Superficie total,,"[{'name': '95 m²', 'struct': {'unit': 'm²', 'number': 95}, 'source': 7398128016960827, 'id': None}]",Ficha técnica,95.0,m²
362,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'source': 1, 'id': '242073', 'name': 'Alquiler', 'struct': None}]",Principales,,
363,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
364,ITEM_CONDITION,2230581,Usado,OTHERS,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",Otros,,
365,ITEM_CONDITION,2230284,Nuevo,,1,Condición del ítem,,"[{'name': 'Nuevo', 'struct': None, 'source': 1, 'id': '2230284'}]",,,
366,HAS_TELEPHONE_LINE,242085,Sí,CARACTERISTICAS,8174457992840116,Línea telefónica,,"[{'id': '242085', 'name': 'Sí', 'struct': None, 'source': 8174457992840116}]",Características adicionales,,
367,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,8174457992840116,Aire acondicionado,,"[{'name': 'No', 'struct': None, 'source': 8174457992840116, 'id': '242084'}]",Comodidades y amenities,,
368,BEDROOMS,,2,FIND,8174457992840116,Dormitorios,,"[{'name': '2', 'struct': None, 'source': 8174457992840116, 'id': None}]",Ficha técnica,,
369,COVERED_AREA,,97 m²,FIND,8174457992840116,Superficie cubierta,,"[{'id': None, 'name': '97 m²', 'struct': {'unit': 'm²', 'number': 97}, 'source': 8174457992840116}]",Ficha técnica,97.0,m²
370,FULL_BATHROOMS,,2,FIND,8174457992840116,Baños,,"[{'id': None, 'name': '2', 'struct': None, 'source': 8174457992840116}]",Ficha técnica,,
371,ROOMS,,3,FIND,8174457992840116,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 8174457992840116}]",Ficha técnica,,
372,TOTAL_AREA,,97 m²,FIND,8174457992840116,Superficie total,,"[{'id': None, 'name': '97 m²', 'struct': {'number': 97, 'unit': 'm²'}, 'source': 8174457992840116}]",Ficha técnica,97.0,m²
373,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
374,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'source': 1, 'id': '242062', 'name': 'Departamento', 'struct': None}]",Principales,,
375,HAS_TELEPHONE_LINE,242085,Sí,CARACTERISTICAS,6316276763983939,Línea telefónica,,"[{'source': 6316276763983939, 'id': '242085', 'name': 'Sí', 'struct': None}]",Características adicionales,,
376,HAS_AIR_CONDITIONING,242085,Sí,COMOYAMEN,6316276763983939,Aire acondicionado,,"[{'id': '242085', 'name': 'Sí', 'struct': None, 'source': 6316276763983939}]",Comodidades y amenities,,
377,BEDROOMS,,1,FIND,6316276763983939,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
378,COVERED_AREA,,230 m²,FIND,6316276763983939,Superficie cubierta,,"[{'struct': {'unit': 'm²', 'number': 230}, 'source': 6316276763983939, 'id': None, 'name': '230 m²'}]",Ficha técnica,230.0,m²
379,FULL_BATHROOMS,,3,FIND,6316276763983939,Baños,,"[{'struct': None, 'source': 6316276763983939, 'id': None, 'name': '3'}]",Ficha técnica,,
380,ROOMS,,1,FIND,6316276763983939,Ambientes,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
381,TOTAL_AREA,,270 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '270 m²', 'struct': {'number': 270, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,270.0,m²
382,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'name': 'Alquiler', 'struct': None, 'source': 1, 'id': '242073'}]",Principales,,
383,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'struct': None, 'source': 1, 'id': '242062', 'name': 'Departamento'}]",Principales,,
384,ITEM_CONDITION,2230581,Usado,OTHERS,1,Condición del ítem,,"[{'struct': None, 'source': 1, 'id': '2230581', 'name': 'Usado'}]",Otros,,
385,WITH_VIRTUAL_TOUR,242084,No,OTHERS,942334329061206,Tour virtual,,"[{'struct': None, 'source': 942334329061206, 'id': '242084', 'name': 'No'}]",Otros,,
386,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",,,
387,BEDROOMS,,2,FIND,6316276763983939,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
388,COVERED_AREA,,92 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '92 m²', 'struct': {'number': 92, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,92.0,m²
389,FULL_BATHROOMS,,2,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '2', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
390,ROOMS,,3,FIND,6316276763983939,Ambientes,,"[{'source': 6316276763983939, 'id': None, 'name': '3', 'struct': None}]",Ficha técnica,,
391,TOTAL_AREA,,92 m²,FIND,6316276763983939,Superficie total,,"[{'id': None, 'name': '92 m²', 'struct': {'unit': 'm²', 'number': 92}, 'source': 6316276763983939}]",Ficha técnica,92.0,m²
392,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'struct': None, 'source': 1, 'id': '242073', 'name': 'Alquiler'}]",Principales,,
393,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
394,ITEM_CONDITION,2230284,Nuevo,,1,Condición del ítem,,"[{'name': 'Nuevo', 'struct': None, 'source': 1, 'id': '2230284'}]",,,
395,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,8174457992840116,Línea telefónica,,"[{'struct': None, 'source': 8174457992840116, 'id': '242084', 'name': 'No'}]",Características adicionales,,
396,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,8174457992840116,Aire acondicionado,,"[{'name': 'No', 'struct': None, 'source': 8174457992840116, 'id': '242084'}]",Comodidades y amenities,,
397,BEDROOMS,,1,FIND,8174457992840116,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 8174457992840116}]",Ficha técnica,,
398,COVERED_AREA,,30 m²,FIND,8174457992840116,Superficie cubierta,,"[{'id': None, 'name': '30 m²', 'struct': {'unit': 'm²', 'number': 30}, 'source': 8174457992840116}]",Ficha técnica,30.0,m²
399,FULL_BATHROOMS,,1,FIND,8174457992840116,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 8174457992840116}]",Ficha técnica,,
400,ROOMS,,1,FIND,8174457992840116,Ambientes,,"[{'id': None, 'name': '1', 'struct': None, 'source': 8174457992840116}]",Ficha técnica,,
401,TOTAL_AREA,,32 m²,FIND,8174457992840116,Superficie total,,"[{'id': None, 'name': '32 m²', 'struct': {'number': 32, 'unit': 'm²'}, 'source': 8174457992840116}]",Ficha técnica,32.0,m²
402,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
403,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
404,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,8174457992840116,Línea telefónica,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 8174457992840116}]",Características adicionales,,
405,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,8174457992840116,Aire acondicionado,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 8174457992840116}]",Comodidades y amenities,,
406,BEDROOMS,,1,FIND,8174457992840116,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 8174457992840116}]",Ficha técnica,,
407,COVERED_AREA,,27 m²,FIND,8174457992840116,Superficie cubierta,,"[{'id': None, 'name': '27 m²', 'struct': {'unit': 'm²', 'number': 27}, 'source': 8174457992840116}]",Ficha técnica,27.0,m²
408,FULL_BATHROOMS,,1,FIND,8174457992840116,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 8174457992840116}]",Ficha técnica,,
409,ROOMS,,1,FIND,8174457992840116,Ambientes,,"[{'id': None, 'name': '1', 'struct': None, 'source': 8174457992840116}]",Ficha técnica,,
410,TOTAL_AREA,,27 m²,FIND,8174457992840116,Superficie total,,"[{'id': None, 'name': '27 m²', 'struct': {'number': 27, 'unit': 'm²'}, 'source': 8174457992840116}]",Ficha técnica,27.0,m²
411,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
412,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'source': 1, 'id': '242062', 'name': 'Departamento', 'struct': None}]",Principales,,
413,ITEM_CONDITION,2230284,Nuevo,OTHERS,1,Condición del ítem,,"[{'struct': None, 'source': 1, 'id': '2230284', 'name': 'Nuevo'}]",Otros,,
414,WITH_VIRTUAL_TOUR,242084,No,OTHERS,942334329061206,Tour virtual,,"[{'source': 942334329061206, 'id': '242084', 'name': 'No', 'struct': None}]",Otros,,
415,BEDROOMS,,1,FIND,7092,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 7092}]",Ficha técnica,,
416,COVERED_AREA,,36 m²,FIND,7092,Superficie cubierta,,"[{'name': '36 m²', 'struct': {'unit': 'm²', 'number': 36}, 'source': 7092, 'id': None}]",Ficha técnica,36.0,m²
417,FULL_BATHROOMS,,1,FIND,7092,Baños,,"[{'struct': None, 'source': 7092, 'id': None, 'name': '1'}]",Ficha técnica,,
418,ROOMS,,1,FIND,7092,Ambientes,,"[{'struct': None, 'source': 7092, 'id': None, 'name': '1'}]",Ficha técnica,,
419,TOTAL_AREA,,36 m²,FIND,7092,Superficie total,,"[{'source': 7092, 'id': None, 'name': '36 m²', 'struct': {'number': 36, 'unit': 'm²'}}]",Ficha técnica,36.0,m²
420,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
421,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
422,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",,,
423,BEDROOMS,,1,FIND,6316276763983939,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
424,COVERED_AREA,,30 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '30 m²', 'struct': {'number': 30, 'unit': 'm²'}, 'source': 6316276763983939}]",Ficha técnica,30.0,m²
425,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
426,ROOMS,,2,FIND,6316276763983939,Ambientes,,"[{'id': None, 'name': '2', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
427,TOTAL_AREA,,30 m²,FIND,6316276763983939,Superficie total,,"[{'source': 6316276763983939, 'id': None, 'name': '30 m²', 'struct': {'number': 30, 'unit': 'm²'}}]",Ficha técnica,30.0,m²
428,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
429,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'struct': None, 'source': 1, 'id': '242062', 'name': 'Departamento'}]",Principales,,
430,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,1572,Línea telefónica,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 1572}]",Características adicionales,,
431,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,1572,Aire acondicionado,,"[{'name': 'No', 'struct': None, 'source': 1572, 'id': '242084'}]",Comodidades y amenities,,
432,BEDROOMS,,1,FIND,1505,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 1505}]",Ficha técnica,,
433,COVERED_AREA,,30 m²,FIND,1505,Superficie cubierta,,"[{'source': 1505, 'id': None, 'name': '30 m²', 'struct': {'number': 30, 'unit': 'm²'}}]",Ficha técnica,30.0,m²
